month,avg_surcharge,avg_tip_pct,total_surcharge,total_tips,trip_count
1,1.8960199313741677,19.069480987451456,6522505.75,10247869.569998143,3440104
2,1.7460793873482108,17.81246344717192,6170669.0,9729975.259998871,3534014
3,1.7430024398869408,17.60618284754354,7141640.5,11750347.319997564,4097321
4,1.808741553677959,18.058076808177265,7108291.0,11712130.499997828,3929965
5,1.643655583133807,16.316514197266567,7419500.75,12935028.299997682,4514024
6,1.5894168667241877,15.80020784030186,6738514.0,11711264.199997697,4239614
7,1.5933800042805075,15.684314537290202,6097306.0,10315008.409998635,3826649
8,1.5916570990653929,15.781006708921705,5599368.5,9558643.729998844,3517949
9,1.6294296422751646,16.812050302990798,6802544.5,11946401.299998313,4174801
10,1.7004875242936008,16.930833673746303,7410093.75,12981265.879997935,4357629
11,1.6639038541486124,16.465027411938884,6864094.25,11738164.009998122,4125295
12,1.4807692307692308,18.760127685072966,19.25,41.3,13
